Result 1: ,"Deliver Community Engagement Interventions on protection, prevention of GBV and other forms of violence.",,,July 2024,,,,,,,,,,,,,,,,,,August 2024,,,,,,,,,,,,,,,,,,September 2024,,,,,,,,,,,,,,,,,,October 2024,,,,,,,,,,,,,,,,,,November  2024,,,,,,,,,,,,,,,,,,December 2024,,,,,,,,,,,,,,,,,,January 2025,,,,,,,,,,,,,,,,,,February 2025,,,,,,,,,,,,,,,,,,March 2025,,,,,,,,,,,,,,,,,,April 2025,,,,,,,,,,,,,,,,,,May 2025,,,,,,,,,,,,,,,,,,June 2025,,,,,,,,,,,,,,,,,,July 2025,,,,,,,,,,,,,,,,,,August 2025,,,,,,,,,,,,,,,,,,September 2025,,,,,,,,,,,,,,,,,,Total Reach,,,Variance,% Achieved,,,
I.2.6.30,"Refer GBV survivors to access in kind material support - dignity kits, hygiene kits from service providers",, 300 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,, 1 ,,,,,, 1 , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , 3 ,,,,,,,,, - ,,, 65 ,,,,,, 65 ,,,,,,,,, - ,,, 13 ,,,,,, 13 ,,,,,,,,, - ,,, 7 ,,,,,, 7 ,,,,,,,,, - ,,, 119 ,,,,,, 119 ,,,,,,,,, - ,,, 10 ,,,,,, 10 , - , 218 , 218 , 82 ,72.7%,,,
I.2.6.30,Update the referral pathways together with other stakeholders. (Pathways),, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - , - , 1 , 1 , - ,100.0%,,,
I.2.5.9,Activity 2.3 : Establish or maintain/enhance existing Women and Girls Safe Spaces (WGSS) in refugee settlements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.2.5.9,Establish and maintain women and girls safe spaces.,, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - , - , - , - , 2 ,0.0%,,,
,Operationalize the WGSS - Provide integrated services to women and girls at the safe spaces,," 4,500 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 78 , 403 , 23 , - , - , 1 , - , 505 , - , - , - , - , - , - , - , - , - , - , - , 241 , - , - , - , - , - , 241 , - , - , - , - , - , - , - , - , - , - , 21 , 90 , - , - , - , - , - , 111 , - ,, - , - , - , - , - , - , - , - , 70 , 382 , 7 , - , - , - , - , 459 ,,,,,,,,, - ,, 60 , 174 , 6 ,,,,, 240 , - , - , - , - , - , - , - , - , - , - , 35 , 208 , 13 , - , - , - , - , 256 ,,,,,,,,, - ,, 54 , 230 , 14 ,,,,, 298 ,,,,,,,,, - ,, 64 , 121 , 7 ,,,,, 192 ,,,,,,,,, - ,, 76 , 189 , 22 ,,,,, 287 ,,,,,,,,, - ,, 121 , 416 ,,,, 140 ,, 677 ,,,,,,,,, - ,, 158 , 155 ,,,,,, 313 , - ," 3,579 "," 3,579 ", 921 ,79.5%,,,
,GBV information counselling to women and girls and provide skilling services to vulnerable women & girls),, 200 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,, 17 ,,,,,, 17 ,,,,,,,,, - ,,, 10 ,,,,,, 10 ,,,,,,,,, - ,, 16 , 57 ,,,,,, 73 ,,,,,,,,, - ,,, 54 ,,,,,, 54 , - , 154 , 154 , 46 ,77.0%,,,
,Comic Book sessions for adolescent girls and young women,, 450 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 13 , 3 , - , - , - , - , - , 16 , - , 30 , 14 , - , - , - , - , - , 44 ,, 14 ,,,,,,, 14 ,, 14 , 3 ,,,,,, 17 , - , 3 , - , - , - , - , - , - , 3 , - , 17 , - , - , - , - , - , - , 17 ,,,,,,,,, - ,, 29 , 15 ,,,,,, 44 ,,,,,,,,, - ,, 56 , 13 ,,,,,, 69 , - , - , - , - , - , - , - , - , - ,, 105 , 26 ,,,,,, 131 , - , - , - , - , - , - , - , - , - ,, 98 ,,,,,,, 98 , - , - , - , - , - , - , - , - , - ,, 74 , - ,,,,,, 74 , 33 , 494 , 527 ,-77 ,117.1%,,,
,Provide in kind material support to GBV survivors (dignity kits) -(through referrals),,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,, 1 ,,,,,, 1 , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , 3 ,,,,,,,,, - ,,, 13 ,,,,,, 13 ,,,,,,,,, - ,,, 13 ,,,,,, 13 ,,,,,,,,, - ,,, 7 ,,,,,, 7 ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - , - , 37 , 37 , N/A ,,,,
,"Provide working tools to GBV community structures (touches, gumboots, raincoats, bags, stationery etc)",, 50 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , 13 , 4 , - , 7 , - , - , 24 , - , - , 15 , 1 , - , - , 10 , - , 26 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - , 24 , 26 , 50 , - ,100.0%,,,
,Training WGSS CMCS on leadership and safe space management and income generating activities [IGA],, 25 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,, - ,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,, 1 ,, 1 ,, 2 , 24 ,,,, - ,, 26 ,,,,,,,,, - ,,,,,,, - ,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - ,,,,,,,,, - , 1 , 26 , 27 ,-2 ,108.0%,,,
